"","Gambar produk","Tindakan","Produk","Lokasi Bisnis","Harga Pembelian Satuan","Harga penjualan","Stok saat ini","Jenis Produk","Kategori","Merek","Pajak","SKU"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Pemuda Muhammadiyah Seri B 90 x 135 cm","Kedai HW","Rp 30,000.00","Rp 30,000.00","9,998.00 Pieces","Tunggal","","","","0067"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Bendera Regu Pengenal","Kedai HW","Rp 8,000.00","Rp 10,000.00","838.00 Pieces","Tunggal","","","","2100"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera Rumpun Athfal","Kedai HW","Rp 50,000.00","Rp 50,000.00","9,992.00 Pieces","Tunggal","","","","0203"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Bendera Semafor","Kedai HW","Rp 7,000.00","Rp 10,000.00","940.00 Sepasang","Tunggal","","","","01000"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi Brosur produk","Bendera Semafor & Stik","Kedai HW","Rp 10,000.00","Rp 15,000.00","81.00 Sepasang","Tunggal","","","","01100"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera TSPM Printing","Kedai HW","Rp 65,000.00","Rp 81,250.00","1,000.00 Pieces","Tunggal","","","","0049"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera TSPM Sablon biasa","Kedai HW","Rp 45,000.00","Rp 56,250.00","979.00 Pieces","Tunggal","","","","0053"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bendera TSPM Sablon DTF","Kedai HW","Rp 50,000.00","Rp 62,500.00","998.00 Pieces","Tunggal","","","","0051"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bordir Badge Lokasi","Kedai HW","Rp 3,500.00","Rp 3,500.00","8,385.00 Pieces","Tunggal","","","","0268"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bordir Logo Sekolah Custom","Kedai HW","Rp 3,500.00","Rp 5,000.00","730.00 Pieces","Tunggal","","","","13332"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bordir Nama","Kedai HW","Rp 3,000.00","Rp 5,000.00","9,665.00 Pieces","Tunggal","","","","0180"
"","","TindakanToggle Dropdown Label Melihat Edit Hapus Tambah & edit stok awal Riwayat stok produk Produk diduplikasi","Bordir Tanda Kecakapan","Kedai HW","Rp 2,000.00","Rp 3,000.00","928.00 Pieces","Tunggal","","","","13142"
